#,Träger,Träger 2,Träger 3,Träger 4,Titel,Untertitel,Strassen,Beschreibung,Start genau,Ende genau,Datum_Text
33,STAWAG,,,,Stolberger Straße,zwischen Breslauer Straße und Elsassstraße,Stolberger Straße,"Verlegung einer Fernwärmeleitung, teilweise Vollsperrung mit Umleitungsbeschilderung. ",,28.02.2013,Bis Februar 2013
34,STAWAG,Stadt Aachen,BLB,,Templergraben,,Templergraben,"Sanierung Kanal und Versorgungsleitungen, Fernwärmearbeiten im Kreuzungsbereich Wüllnerstr./Templergraben, Neugestaltung der Straße und der Freifläche vor dem RWTH-Hauptgebäude ab November, Verzögerungen durch archäologische Funde, Wegfall der Parkplätze. Während der Bauarbeiten einspurige Verkehrsführung zwischen Wüllnerstraße und Schinkelstraße als Einbahnstraße in Richtung Karlsgraben, Umleitung der Gegenrichtung ab Königstraße über Turmstraße     ",,30.09.2013,Bis September 2013 
35,Stadt Aachen,,,,Ursulinerstraße,zwischen Holzgraben und Buchkremerstraße,"Ursulinerstraße, Holzgraben, Buchkremerstraße","Nach der Kanalsanierung wird derzeit die Straße wieder hergestellt: Fahrbahn und Bürgersteige werden ähnlich wie in der Kleinkölnstraße niveaugleich gestaltet, Verbreiterung des Gehwegs (an der Seite zur Mayerschen Buchhandlung). Während der Bauzeit baustellenbedingte Sperrung der Ursulinerstr. zwischen Friedrich-Wilhelm-Platz und Buchkremerstraße, Umleitung von Peterstraße in den Büchel bis Juli.     ",,31.07.2013,Bis Juli 2013
36,STAWAG,,,,Wendelinstraße,,Wendelinstraße,Erneuerung von Versorgungsleitungen,01.02.2013,31.08.2013,Februar bis August 2013
37,NetAachen,,,,FTTB Bahnhofsviertel,In der Regel im Gehweg,Leydelstraße 1- 23,Baumaßnahmen von NetAachen,01.04.2013,31.05.2013,April-Mai 2013
38,NetAachen,,,,FTTB Bahnhofsviertel,In der Regel im Gehweg,Theaterstraße 2-40,Baumaßnahmen von NetAachen,01.04.2013,31.05.2013,April-Mai 2013
39,NetAachen,,,,FTTB Bahnhofsviertel,In der Regel im Gehweg,Theaterplatz 2-14,Baumaßnahmen von NetAachen,01.05.2013,31.05.2013,Bis Mai 2013
40,NetAachen,,,,FTTB Bahnhofsviertel,In der Regel im Gehweg,Kapuzinergraben 13-21,Baumaßnahmen von NetAachen,01.05.2013,30.06.2013,Mai-Juni 2013
41,NetAachen,,,,FTTB Bahnhofsviertel,In der Regel im Gehweg,Wallstraße 65-49,Baumaßnahmen von NetAachen,01.04.2013,30.04.2013,April 2013
42,NetAachen,,,,FTTB Bahnhofsviertel,In der Regel im Gehweg,Marienplatz 1-24,Baumaßnahmen von NetAachen,01.04.2013,30.04.2013,April 2013
43,NetAachen,,,,FTTB Bahnhofsviertel,In der Regel im Gehweg,Aureliusstraße 1-52,Baumaßnahmen von NetAachen,01.05.2013,31.05.2013,Mai 2013
44,NetAachen,,,,FTTB Bahnhofsviertel,In der Regel im Gehweg,Franzstraße 1-53,Baumaßnahmen von NetAachen,31.05.2013,30.06.2013,Mai-Juni 2013
45,NetAachen,,,,FTTB Bahnhofsviertel,In der Regel im Gehweg,Bahnhofplatz 4-6,Baumaßnahmen von NetAachen,01.04.2013,31.05.2013,April-Mai 2013
46,NetAachen,,,,FTTB Rosviertel,In der Regel im Gehweg,Guaitastraße 1-25,Baumaßnahmen von NetAachen,01.04.2013,30.04.2013,April
47,NetAachen,,,,FTTB Rosviertel,In der Regel im Gehweg,Löhergraben 1-23,Baumaßnahmen von NetAachen,01.04.2013,30.04.2013,April
